001102;2015;10;02;07;0315;1671,63////false
01;06988040;00;1;1201;pen;50,04
01;06988040;00;1;1202;pen;2,01
01;06988040;00;1;1203;pen;5,00
01;06988040;00;1;1204;pen;9,27
01;06988040;00;1;1205;pen;14,25
01;06988040;00;1;1206;pen;249,86
01;06988040;00;1;1210;pen;63,52
01;06988040;00;1;1211;pen;22,84
01;06988040;00;1;1212;pen;73,68
01;06988040;00;1;1213;pen;85,47
01;06988040;00;1;1230;pen;0,01
01;06988040;00;1;1240;pen;3,00
01;06988040;00;1;1250;pen;10,73
01;06988040;00;1;1276;pen;11,65
01;06988040;00;1;1277;pen;100,00
01;06988040;00;1;1279;pen;10,00
01;06988040;00;1;1280;pen;15,00
01;06988040;00;1;1281;pen;15,00
01;06988040;00;1;1282;pen;20,00
01;06988040;00;1;1283;pen;80,00
01;06988040;00;1;1284;pen;25,00
01;06988040;00;1;1285;pen;25,00
01;06988040;00;1;1286;pen;25,00
01;06988040;00;1;1287;pen;27,00
01;06988040;00;1;1288;pen;30,00
01;06988040;00;2;2021;pen;35,73
01;06988040;00;9;9999;pen;937,60
01;18153578;00;1;1201;pen;50,03
01;18153578;00;1;1202;pen;10,99
01;18153578;00;1;1203;pen;5,00
01;18153578;00;1;1204;pen;8,33
01;18153578;00;1;1205;pen;41,45
01;18153578;00;1;1206;pen;172,00
01;18153578;00;1;1210;pen;51,82
01;18153578;00;1;1211;pen;20,79
01;18153578;00;1;1212;pen;60,11
01;18153578;00;1;1213;pen;69,73
01;18153578;00;1;1230;pen;0,01
01;18153578;00;1;1240;pen;3,00
01;18153578;00;1;1250;pen;12,27
01;18153578;00;1;1277;pen;100,00
01;18153578;00;1;1283;pen;50,00
01;18153578;00;1;1285;pen;25,00
01;18153578;00;1;1286;pen;25,00
01;18153578;00;1;1287;pen;27,00
01;18153578;00;1;1288;pen;30,00
01;18153578;00;2;2021;pen;28,50
01;18153578;00;9;9999;pen;734,03
